wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787750576.879,157.2,10.0,7.99,1.6,2.61,0.9,0.00,0.5,0.00,5.0,36.95,16.487,10.0,6.58,2.5,50.71,1.0,0.00,0.5,0.00,5.0,39.06,0.071
1787750578.754,159.1,10.0,6.10,2.0,70.81,1.0,0.00,1.0,0.00,5.3,19.57,16.134,10.5,23.13,2.0,70.95,2.3,0.00,1.0,0.00,5.3,20.53,27.593
1787750580.703,161.0,10.0,2.72,1.9,117.69,1.0,0.00,1.0,0.00,5.1,19.17,15.289,10.0,6.19,2.5,34.09,0.9,0.00,1.0,0.00,5.1,20.12,27.456
1787750582.695,163.0,10.0,6.87,1.7,57.32,1.0,0.00,1.0,0.00,5.1,30.82,14.526,10.0,10.08,1.4,58.48,1.0,0.00,1.0,0.00,5.1,30.84,26.693
1787750584.525,164.8,10.0,14.27,1.8,7.68,1.0,0.00,1.0,0.00,5.4,11.90,13.771,10.0,9.32,1.3,1.88,0.9,0.00,1.0,0.00,5.3,15.35,25.974
1787750586.483,166.8,10.0,2.06,1.7,4.16,1.0,0.00,0.8,0.00,5.1,19.33,13.121,10.0,13.05,1.4,101.80,1.0,0.00,0.8,0.00,5.1,19.29,25.329
1787750588.539,168.8,10.0,2.50,1.6,46.49,1.0,0.00,0.8,0.00,4.8,26.67,12.417,10.1,9.61,1.6,45.45,1.0,0.00,0.5,0.00,4.8,22.58,24.765
1787750590.341,170.6,10.0,5.32,1.8,4.44,1.0,0.00,1.0,0.00,5.5,13.11,11.608,10.0,7.87,1.8,7.28,1.0,0.00,1.0,0.00,5.5,12.61,24.419
1787750592.382,172.7,10.0,6.17,1.6,65.34,1.0,0.00,0.8,0.00,4.9,30.33,10.952,10.0,4.96,1.6,63.95,1.0,0.00,0.8,0.00,4.9,30.35,23.658
1787750594.397,174.7,10.0,8.08,1.6,4.79,1.0,0.00,0.8,0.00,5.0,33.61,10.252,10.0,6.61,1.6,3.61,1.0,0.00,0.8,0.00,5.0,33.71,23.007
1787750596.277,176.6,10.0,4.38,1.8,36.10,1.0,0.00,1.0,0.00,5.3,21.45,9.902,10.0,5.27,1.8,38.37,1.0,0.00,1.0,0.00,5.3,23.23,22.272
1787750598.316,178.6,10.0,5.62,1.6,35.02,1.0,0.00,0.8,0.00,4.9,24.48,9.238,10.0,14.39,1.6,32.57,1.0,0.00,0.8,0.00,4.9,28.11,21.654
1787750600.357,180.7,10.0,3.99,1.6,34.29,1.0,0.00,0.8,0.00,4.8,19.05,8.555,10.0,11.74,1.4,142.88,0.9,0.00,0.8,0.00,4.8,20.61,21.071
1787750602.276,182.6,10.0,1.43,1.7,29.03,1.0,0.00,1.0,0.00,5.2,19.69,7.872,10.0,9.59,1.8,15.68,0.9,0.00,1.0,0.00,5.2,19.56,20.438
1787750604.397,184.7,10.0,4.92,1.6,43.60,1.0,0.00,0.5,0.00,4.7,26.01,7.222,9.9,8.14,1.5,33.15,1.0,0.00,0.5,0.00,4.7,27.23,19.816
1787750606.399,186.7,10.0,3.39,1.6,8.50,1.0,0.00,0.8,0.00,5.0,28.60,6.407,9.9,8.01,1.6,35.73,1.0,0.00,0.8,0.00,4.9,28.64,19.138
1787750608.247,188.5,10.0,3.25,1.8,15.70,1.0,0.00,1.0,0.00,5.4,14.53,5.711,10.1,11.15,1.8,21.78,0.5,0.00,1.0,0.00,5.4,14.87,19.190
1787750610.331,190.6,10.0,1.54,1.6,24.86,1.0,0.00,0.8,0.00,4.8,24.86,5.051,10.1,12.67,1.6,24.68,0.5,0.00,0.5,0.00,4.9,25.32,18.078
1787750612.356,192.7,10.0,6.56,1.6,42.06,1.0,0.00,0.5,0.00,4.9,22.63,4.411,9.9,8.86,1.6,41.40,1.0,0.00,1.0,0.00,4.9,21.73,17.314
