# started on Wed Sep  2 15:48:04 2026

#           time             counts   unit events
   108.136281186               0.68 Joules power/energy-psys/                                                    
   109.137299576               7.31 Joules power/energy-pkg/                                                     
   109.137299576               3.20 Joules power/energy-cores/                                                   
   109.137299576               0.68 Joules power/energy-psys/                                                    
   110.138649042               6.90 Joules power/energy-pkg/                                                     
   110.138649042               2.99 Joules power/energy-cores/                                                   
   110.138649042               0.68 Joules power/energy-psys/                                                    
   111.140012033               7.64 Joules power/energy-pkg/                                                     
   111.140012033               3.39 Joules power/energy-cores/                                                   
   111.140012033               0.68 Joules power/energy-psys/                                                    
   112.141597530               7.58 Joules power/energy-pkg/                                                     
   112.141597530               3.43 Joules power/energy-cores/                                                   
   112.141597530               0.68 Joules power/energy-psys/                                                    
   113.142930143               7.05 Joules power/energy-pkg/                                                     
   113.142930143               2.99 Joules power/energy-cores/                                                   
   113.142930143               0.68 Joules power/energy-psys/                                                    
   114.144276543               7.46 Joules power/energy-pkg/                                                     
   114.144276543               3.29 Joules power/energy-cores/                                                   
   114.144276543               0.68 Joules power/energy-psys/                                                    
   115.145255306               7.33 Joules power/energy-pkg/                                                     
   115.145255306               3.21 Joules power/energy-cores/                                                   
   115.145255306               0.68 Joules power/energy-psys/                                                    
   116.146256310               7.52 Joules power/energy-pkg/                                                     
   116.146256310               3.23 Joules power/energy-cores/                                                   
   116.146256310               0.68 Joules power/energy-psys/                                                    
   117.147653591               7.81 Joules power/energy-pkg/                                                     
   117.147653591               3.28 Joules power/energy-cores/                                                   
   117.147653591               0.68 Joules power/energy-psys/                                                    
   118.148977995               7.46 Joules power/energy-pkg/                                                     
   118.148977995               3.20 Joules power/energy-cores/                                                   
   118.148977995               0.68 Joules power/energy-psys/                                                    
   119.150318437               7.83 Joules power/energy-pkg/                                                     
   119.150318437               3.45 Joules power/energy-cores/                                                   
   119.150318437               0.68 Joules power/energy-psys/                                                    
   120.151373059               7.23 Joules power/energy-pkg/                                                     
   120.151373059               3.11 Joules power/energy-cores/                                                   
   120.151373059               0.68 Joules power/energy-psys/                                                    
