wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787749858.190,138.3,10.0,0.72,2.6,21.24,1.0,0.00,1.3,0.00,7.9,10.11,14.334
1787749859.482,139.6,10.0,1.19,2.6,17.63,1.0,0.00,1.3,1.25,7.8,10.73,13.126
1787749860.758,140.9,10.0,1.19,2.6,16.85,1.0,0.00,1.2,0.00,7.7,16.72,12.676
1787749862.011,142.1,10.0,0.45,2.7,10.85,1.0,0.00,1.2,0.00,8.0,4.92,12.221
1787749863.295,143.4,10.0,0.35,2.6,18.72,1.0,0.00,1.3,0.01,7.9,10.30,11.721
1787749864.593,144.7,10.0,0.41,2.6,20.14,1.0,0.00,1.2,0.00,7.8,10.97,10.667
1787749865.865,146.0,10.0,0.16,2.6,20.78,1.0,0.00,1.3,1.03,7.7,15.93,10.117
1787749867.126,147.2,10.0,0.21,2.7,1.08,1.0,0.00,1.2,0.00,8.0,4.66,9.558
1787749868.404,148.5,10.0,0.27,2.3,77.19,1.0,0.00,1.3,0.00,7.8,12.77,9.051
1787749869.685,149.8,10.0,0.39,2.4,45.71,1.0,0.00,1.2,1.00,7.8,12.97,8.172
1787749870.966,151.1,10.0,0.32,2.6,14.46,1.0,0.00,1.2,0.00,7.7,9.56,7.722
1787749872.214,152.3,10.0,0.24,2.7,2.61,1.0,0.00,1.3,2.86,7.9,8.29,7.172
1787749873.524,153.6,10.0,0.27,2.6,14.57,1.0,0.00,1.2,0.00,7.7,13.02,6.622
1787749874.783,154.9,10.0,0.15,2.6,19.33,0.5,0.00,1.2,0.60,7.8,11.51,6.039
1787749876.107,156.2,10.0,0.22,2.5,18.23,1.0,0.00,1.3,0.38,7.7,13.63,5.039
