wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787749906.197,186.3,10.0,0.26,2.5,21.35,1.0,0.00,1.2,0.00,7.6,11.18,21.317
1787749907.536,187.6,10.0,0.24,2.5,12.89,1.0,0.00,1.3,0.71,7.5,13.32,20.893
1787749908.865,189.0,10.0,0.42,2.5,17.93,1.0,0.00,1.3,1.04,7.5,15.81,20.031
1787749910.144,190.3,10.0,0.51,2.6,5.21,1.0,0.00,1.2,0.00,7.8,5.12,19.449
1787749911.503,191.6,10.0,0.40,2.7,32.72,1.0,0.00,1.2,0.38,7.5,11.48,18.775
1787749912.846,193.0,10.0,0.60,2.5,8.46,1.0,0.00,1.2,0.06,7.4,7.88,18.224
1787749914.181,194.3,10.0,0.44,2.5,26.84,1.0,0.00,1.2,0.00,7.4,14.21,17.157
1787749915.469,195.6,10.0,0.31,2.6,1.49,1.0,0.00,1.2,0.26,7.8,3.16,16.621
1787749916.836,196.9,10.0,0.44,1.8,32.81,1.0,0.00,1.2,0.57,7.4,10.97,16.256
1787749918.205,198.3,10.0,0.47,1.9,6.61,1.0,0.00,1.3,0.00,7.3,12.21,15.628
1787749919.544,199.7,10.0,1.68,1.8,2.24,1.0,0.00,1.2,0.54,7.3,18.75,15.244
1787749920.839,201.0,10.0,0.78,1.9,106.67,1.0,0.00,1.3,0.95,7.7,2.07,14.949
1787749922.216,202.3,10.0,0.62,2.5,13.30,0.5,0.00,1.3,0.00,7.5,7.96,14.567
1787749923.586,203.7,10.0,0.27,2.4,18.94,1.0,0.00,1.2,0.54,7.2,12.10,13.493
1787749924.929,205.0,10.0,0.32,2.4,17.01,1.0,0.00,1.2,0.36,7.3,11.12,12.943
1787749926.226,206.3,10.0,0.36,2.3,62.75,1.0,0.00,1.3,0.00,7.7,0.74,12.363
1787749927.573,207.7,10.0,0.23,2.5,28.25,1.0,0.00,1.2,1.48,7.5,14.61,11.331
1787749928.989,209.1,10.0,0.18,2.4,28.06,1.0,0.00,1.2,0.55,7.2,16.65,10.836
1787749930.336,210.4,10.0,0.40,2.5,27.65,1.0,0.00,1.2,0.00,7.3,15.90,10.383
1787749931.644,211.8,10.0,0.43,2.8,56.68,1.0,0.00,1.3,0.00,7.6,2.83,9.566
1787749932.975,213.1,10.0,0.42,2.5,7.70,1.0,0.00,1.3,0.65,7.6,5.88,9.015
1787749934.383,214.5,10.0,0.37,2.4,23.19,1.0,0.00,1.2,0.00,7.2,14.67,8.515
1787749935.724,215.8,10.0,0.45,2.4,16.77,1.0,0.00,1.2,0.00,7.3,10.36,7.415
1787749937.027,217.1,10.0,0.54,2.6,1.46,1.0,0.00,1.3,0.09,7.7,1.40,6.865
1787749938.395,218.5,10.0,0.49,2.5,20.36,1.0,0.00,1.2,0.21,7.4,8.21,6.386
1787749939.802,219.9,10.0,0.33,2.4,15.09,1.0,0.00,1.3,0.00,7.2,9.30,5.503
1787749941.163,221.3,10.0,0.39,2.4,23.61,1.0,0.00,1.3,3.11,7.3,13.72,5.007
1787749942.481,222.6,10.0,0.35,2.5,1.17,1.0,0.00,1.2,0.04,7.6,1.15,4.536
1787749943.848,224.0,10.0,0.29,2.0,74.14,1.0,0.00,1.2,0.00,7.4,8.80,3.607
1787749945.284,225.4,10.0,0.54,1.9,56.71,1.0,0.00,1.3,0.00,7.1,9.87,3.159
1787749946.630,226.7,10.0,1.11,2.4,14.87,1.0,0.00,1.3,0.18,7.3,13.94,2.560
1787749947.954,228.1,10.0,0.39,2.5,3.21,1.0,0.00,1.2,0.00,7.5,2.20,1.269
1787749949.317,229.4,10.0,0.44,2.5,12.90,1.0,0.00,1.2,0.00,7.4,10.43,0.654
1787749950.761,230.9,10.0,0.29,1.6,91.76,1.0,0.00,1.2,0.09,7.2,12.51,0.191
1787749952.088,232.2,10.0,0.20,2.5,246.61,1.0,0.00,1.3,1.30,7.4,10.63,0.000
1787749953.417,233.5,10.0,0.40,5.8,60.65,1.0,0.00,1.2,0.00,7.5,1.71,0.000
1787749954.774,234.9,10.0,0.35,3.7,73.16,1.0,0.00,1.3,0.55,7.4,5.94,0.050
1787749956.222,236.3,10.7,22.29,2.7,73.28,1.0,0.00,1.2,1.23,7.0,17.18,15.185
1787749957.559,237.7,10.0,0.36,2.6,99.31,1.0,0.00,1.3,0.00,7.3,11.98,14.821
1787749958.896,239.0,10.0,0.52,2.0,64.43,1.0,0.00,1.3,0.00,7.5,1.41,14.283
1787749960.276,240.4,10.0,0.54,1.8,14.91,1.0,0.00,1.2,3.08,7.3,5.61,13.194
1787749961.724,241.8,10.0,1.22,2.1,45.84,1.0,0.00,1.3,4.02,7.0,17.68,12.696
1787749963.073,243.2,10.0,1.15,2.4,17.80,1.0,0.00,1.3,0.00,7.3,13.81,12.199
1787749964.424,244.5,10.0,0.38,2.5,2.50,1.0,0.00,1.2,0.00,7.4,2.29,11.185
1787749965.815,245.9,10.0,0.69,2.4,8.13,1.0,0.00,1.3,0.36,7.2,6.84,10.619
1787749967.238,247.4,10.0,0.53,2.1,65.30,1.0,0.00,1.2,0.16,7.1,16.53,10.103
1787749968.587,248.7,10.0,0.21,2.5,4.10,1.0,0.00,1.3,0.00,7.2,13.33,9.163
1787749969.944,250.1,10.0,0.29,2.5,2.90,1.0,0.00,1.2,0.09,7.4,1.75,8.598
1787749971.367,251.5,10.0,0.42,2.1,53.92,1.0,0.00,1.3,0.34,7.1,14.50,8.078
1787749972.858,253.0,10.0,0.49,2.0,89.32,1.0,0.00,1.2,0.04,6.8,19.36,7.169
1787749974.220,254.3,10.0,0.44,2.2,64.05,1.0,0.00,1.3,0.00,7.2,11.85,6.783
1787749975.611,255.7,10.0,0.29,2.1,84.40,1.0,0.00,1.3,0.00,7.2,7.93,6.373
1787749976.999,257.1,10.0,0.27,2.0,59.44,1.0,0.00,1.2,0.19,7.1,7.54,5.673
1787749978.461,258.6,10.0,1.58,2.3,11.38,1.0,0.00,1.2,0.28,6.9,15.89,5.242
1787749979.834,259.9,10.0,0.42,2.4,0.49,0.5,0.00,1.3,0.00,7.1,9.99,4.773
1787749981.228,261.3,10.0,0.44,2.4,17.09,1.0,0.00,1.2,0.00,7.2,8.43,3.679
1787749982.650,262.8,10.0,0.48,2.4,26.27,1.0,0.00,1.2,3.11,7.1,13.75,3.125
1787749984.133,264.2,10.0,0.39,2.3,30.26,1.0,0.00,1.2,0.72,6.7,20.45,2.015
1787749985.508,265.6,10.0,0.43,2.4,3.30,1.0,0.00,1.2,0.00,7.1,8.28,1.449
1787749986.946,267.1,10.0,0.83,2.3,21.62,1.0,0.00,1.3,0.00,7.0,11.91,0.884
1787749988.358,268.5,10.0,0.67,1.8,7.17,1.0,0.00,1.2,0.25,7.1,11.24,0.241
1787749989.793,269.9,10.0,1.55,1.7,0.00,1.0,0.00,1.3,0.11,7.0,10.62,0.121
1787749991.178,271.3,10.0,0.33,5.4,65.80,1.0,0.00,1.3,0.00,7.2,1.76,0.050
1787749992.614,272.7,10.0,0.35,5.9,55.40,1.0,0.00,1.2,0.00,7.0,12.21,0.050
1787749994.053,274.2,10.7,22.49,3.5,5.89,1.1,139.36,1.3,0.00,7.0,8.85,24.469
1787749995.476,275.6,10.7,21.99,3.1,62.20,1.0,0.00,1.2,0.11,7.0,9.95,24.302
1787749996.894,277.0,10.0,0.38,2.6,62.90,1.0,0.00,1.2,1.32,7.2,2.22,23.797
1787749998.319,278.4,10.0,3.14,2.3,16.55,1.0,0.00,1.3,0.00,7.0,10.11,22.616
1787749999.781,279.9,10.0,0.59,2.3,12.50,1.0,0.00,1.3,0.00,6.9,13.27,22.100
1787750001.210,281.3,10.0,0.51,2.3,19.00,0.5,0.00,1.3,0.00,7.0,13.35,21.555
1787750002.655,282.8,10.0,0.39,2.1,94.92,0.9,0.00,1.3,0.54,5.9,79.45,20.656
1787750004.079,284.2,10.0,0.35,2.4,10.75,1.0,0.00,1.3,2.45,6.9,15.13,20.232
1787750005.505,285.6,10.0,0.48,2.3,10.20,1.0,0.00,1.3,0.00,7.0,11.57,19.373
1787750006.921,287.0,10.0,0.60,2.3,10.53,1.0,0.00,1.3,0.00,7.1,6.76,18.877
1787750008.356,288.5,10.0,0.64,2.3,10.05,1.0,0.00,1.2,0.29,7.0,8.92,18.450
1787750009.806,289.9,10.0,1.93,2.3,15.73,1.0,0.00,1.3,0.11,6.9,7.09,17.481
1787750011.260,291.4,10.0,0.39,2.3,25.38,1.0,0.00,1.2,0.21,6.9,11.13,17.034
1787750012.699,292.8,10.0,0.34,2.3,12.22,1.0,0.00,1.2,0.00,7.0,13.98,15.984
1787750014.153,294.3,10.0,0.35,2.3,14.64,1.0,0.00,1.2,0.00,6.9,7.73,15.534
1787750015.630,295.7,10.0,1.39,2.9,55.35,0.5,0.00,1.2,0.00,6.8,16.63,14.985
