wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m
1788342462.061,386.000,325.9,10.58,21.28,15.09,18.06,2.71,123.54,3.89,90.35,1.02,93.48,1.53,52.00,1.25,0.07,1.82,4.99,3.39,8.62,5.00,0.00,27.576
1788342463.506,387.000,327.4,10.01,1.00,14.71,12.87,2.84,112.12,3.89,90.35,0.94,0.00,1.38,20.00,1.25,1.17,1.82,1.89,3.42,8.19,5.00,0.00,27.424
1788342464.947,388.000,328.8,10.00,1.02,14.61,13.75,1.73,4.70,2.78,80.00,0.94,0.00,1.37,12.00,1.25,0.03,1.81,4.99,3.46,2.23,5.00,0.00,26.410
1788342466.411,389.000,330.3,10.01,1.02,14.53,14.03,1.71,8.48,2.50,0.00,0.94,0.00,1.36,14.00,1.25,0.51,1.82,8.22,3.42,4.56,5.00,0.00,25.865
1788342467.902,390.000,331.8,10.00,0.87,14.92,14.66,1.68,14.68,2.50,0.00,0.93,0.00,1.39,20.00,1.25,0.72,1.83,4.99,3.35,26.66,5.00,0.00,25.173
1788342469.348,391.000,333.2,10.00,0.79,14.74,15.35,1.70,19.42,2.50,0.00,0.93,0.00,1.39,22.00,1.25,0.03,1.83,24.51,3.51,10.28,5.00,0.00,24.891
1788342470.793,392.000,334.6,9.99,1.01,14.34,14.64,1.73,4.01,2.50,0.00,0.95,0.00,1.33,6.00,1.25,0.25,1.78,20.74,3.46,0.86,5.00,0.00,24.410
1788342472.262,393.000,336.1,10.01,1.09,14.62,13.91,1.71,4.67,2.50,0.00,0.94,0.00,1.38,22.00,1.25,0.03,1.79,23.63,3.43,5.25,5.00,0.00,23.452
1788342473.736,394.000,337.6,10.01,0.97,14.83,15.14,1.70,10.22,2.50,0.00,0.94,0.00,1.36,12.00,1.25,1.01,1.82,26.60,3.39,4.77,5.00,0.00,22.972
1788342475.197,395.000,339.0,10.00,1.46,14.74,15.67,1.69,6.95,2.50,0.00,0.93,0.00,1.38,0.00,1.25,0.42,1.81,16.97,3.42,2.76,5.00,0.00,22.488
