# started on Wed Sep  2 11:42:13 2026

#           time             counts   unit events
    68.092333437               0.68 Joules power/energy-psys/                                                    
    69.093808506               4.86 Joules power/energy-pkg/                                                     
    69.093808506               1.25 Joules power/energy-cores/                                                   
    69.093808506               0.68 Joules power/energy-psys/                                                    
    70.095290837               4.90 Joules power/energy-pkg/                                                     
    70.095290837               1.30 Joules power/energy-cores/                                                   
    70.095290837               0.68 Joules power/energy-psys/                                                    
    71.096854298               5.20 Joules power/energy-pkg/                                                     
    71.096854298               1.35 Joules power/energy-cores/                                                   
    71.096854298               0.68 Joules power/energy-psys/                                                    
    72.098512850               5.29 Joules power/energy-pkg/                                                     
    72.098512850               1.36 Joules power/energy-cores/                                                   
    72.098512850               0.68 Joules power/energy-psys/                                                    
    73.099978041               4.94 Joules power/energy-pkg/                                                     
    73.099978041               1.30 Joules power/energy-cores/                                                   
    73.099978041               0.68 Joules power/energy-psys/                                                    
    74.101391929               5.11 Joules power/energy-pkg/                                                     
    74.101391929               1.35 Joules power/energy-cores/                                                   
    74.101391929               0.68 Joules power/energy-psys/                                                    
    75.102818122               5.09 Joules power/energy-pkg/                                                     
    75.102818122               1.33 Joules power/energy-cores/                                                   
    75.102818122               0.68 Joules power/energy-psys/                                                    
    76.104192748               5.13 Joules power/energy-pkg/                                                     
    76.104192748               1.40 Joules power/energy-cores/                                                   
    76.104192748               0.68 Joules power/energy-psys/                                                    
    77.105643590               5.10 Joules power/energy-pkg/                                                     
    77.105643590               1.32 Joules power/energy-cores/                                                   
    77.105643590               0.68 Joules power/energy-psys/                                                    
    78.106797693               5.05 Joules power/energy-pkg/                                                     
    78.106797693               1.33 Joules power/energy-cores/                                                   
    78.106797693               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    79.107863795               4.96 Joules power/energy-pkg/                                                     
    79.107863795               1.28 Joules power/energy-cores/                                                   
    79.107863795               0.68 Joules power/energy-psys/                                                    
    80.109273353               4.96 Joules power/energy-pkg/                                                     
    80.109273353               1.27 Joules power/energy-cores/                                                   
    80.109273353               0.68 Joules power/energy-psys/                                                    
    81.110721663               4.93 Joules power/energy-pkg/                                                     
    81.110721663               1.32 Joules power/energy-cores/                                                   
    81.110721663               0.68 Joules power/energy-psys/                                                    
    82.112102543               5.00 Joules power/energy-pkg/                                                     
    82.112102543               1.32 Joules power/energy-cores/                                                   
    82.112102543               0.68 Joules power/energy-psys/                                                    
    83.113450392               4.97 Joules power/energy-pkg/                                                     
    83.113450392               1.34 Joules power/energy-cores/                                                   
    83.113450392               0.68 Joules power/energy-psys/                                                    
    84.114794050               5.24 Joules power/energy-pkg/                                                     
    84.114794050               1.42 Joules power/energy-cores/                                                   
    84.114794050               0.68 Joules power/energy-psys/                                                    
    85.116260389               4.98 Joules power/energy-pkg/                                                     
    85.116260389               1.30 Joules power/energy-cores/                                                   
    85.116260389               0.68 Joules power/energy-psys/                                                    
    86.117850473               5.04 Joules power/energy-pkg/                                                     
    86.117850473               1.31 Joules power/energy-cores/                                                   
    86.117850473               0.68 Joules power/energy-psys/                                                    
    87.119416343               4.98 Joules power/energy-pkg/                                                     
    87.119416343               1.32 Joules power/energy-cores/                                                   
    87.119416343               0.68 Joules power/energy-psys/                                                    
    88.120826304               5.07 Joules power/energy-pkg/                                                     
    88.120826304               1.34 Joules power/energy-cores/                                                   
    88.120826304               0.68 Joules power/energy-psys/                                                    
    89.121869205               5.09 Joules power/energy-pkg/                                                     
    89.121869205               1.32 Joules power/energy-cores/                                                   
    89.121869205               0.68 Joules power/energy-psys/                                                    
    90.123337609               5.32 Joules power/energy-pkg/                                                     
    90.123337609               1.41 Joules power/energy-cores/                                                   
    90.123337609               0.68 Joules power/energy-psys/                                                    
    91.124573479               5.34 Joules power/energy-pkg/                                                     
    91.124573479               1.45 Joules power/energy-cores/                                                   
    91.124573479               0.68 Joules power/energy-psys/                                                    
    92.125937941               5.35 Joules power/energy-pkg/                                                     
    92.125937941               1.50 Joules power/energy-cores/                                                   
    92.125937941               0.68 Joules power/energy-psys/                                                    
    93.130139699               5.22 Joules power/energy-pkg/                                                     
    93.130139699               1.40 Joules power/energy-cores/                                                   
    93.130139699               0.68 Joules power/energy-psys/                                                    
    94.131495003               5.43 Joules power/energy-pkg/                                                     
    94.131495003               1.45 Joules power/energy-cores/                                                   
    94.131495003               0.68 Joules power/energy-psys/                                                    
    95.133045943               5.38 Joules power/energy-pkg/                                                     
    95.133045943               1.38 Joules power/energy-cores/                                                   
    95.133045943               0.68 Joules power/energy-psys/                                                    
    96.134489801               5.47 Joules power/energy-pkg/                                                     
    96.134489801               1.37 Joules power/energy-cores/                                                   
    96.134489801               0.68 Joules power/energy-psys/                                                    
    97.136015697               5.13 Joules power/energy-pkg/                                                     
    97.136015697               1.31 Joules power/energy-cores/                                                   
    97.136015697               0.68 Joules power/energy-psys/                                                    
    98.137374968               4.84 Joules power/energy-pkg/                                                     
    98.137374968               1.24 Joules power/energy-cores/                                                   
    98.137374968               0.68 Joules power/energy-psys/                                                    
    99.137796312               5.03 Joules power/energy-pkg/                                                     
    99.137796312               1.33 Joules power/energy-cores/                                                   
    99.137796312               0.68 Joules power/energy-psys/                                                    
   100.139228528               5.19 Joules power/energy-pkg/                                                     
   100.139228528               1.39 Joules power/energy-cores/                                                   
   100.139228528               0.68 Joules power/energy-psys/                                                    
   101.140676738               4.82 Joules power/energy-pkg/                                                     
   101.140676738               1.24 Joules power/energy-cores/                                                   
   101.140676738               0.68 Joules power/energy-psys/                                                    
   102.142124007               5.23 Joules power/energy-pkg/                                                     
   102.142124007               1.34 Joules power/energy-cores/                                                   
   102.142124007               0.68 Joules power/energy-psys/                                                    
   103.143444360               4.61 Joules power/energy-pkg/                                                     
   103.143444360               1.23 Joules power/energy-cores/                                                   
   103.143444360               0.68 Joules power/energy-psys/                                                    
   104.144821041               5.04 Joules power/energy-pkg/                                                     
   104.144821041               1.26 Joules power/energy-cores/                                                   
   104.144821041               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   105.146306523               5.09 Joules power/energy-pkg/                                                     
   105.146306523               1.27 Joules power/energy-cores/                                                   
   105.146306523               0.68 Joules power/energy-psys/                                                    
   106.147670705               5.29 Joules power/energy-pkg/                                                     
   106.147670705               1.29 Joules power/energy-cores/                                                   
   106.147670705               0.68 Joules power/energy-psys/                                                    
   107.149038654               5.14 Joules power/energy-pkg/                                                     
   107.149038654               1.29 Joules power/energy-cores/                                                   
   107.149038654               0.68 Joules power/energy-psys/                                                    
   108.149909297               4.94 Joules power/energy-pkg/                                                     
   108.149909297               1.35 Joules power/energy-cores/                                                   
   108.149909297               0.68 Joules power/energy-psys/                                                    
   109.151245088               4.84 Joules power/energy-pkg/                                                     
   109.151245088               1.22 Joules power/energy-cores/                                                   
   109.151245088               0.68 Joules power/energy-psys/                                                    
   110.151842477               4.87 Joules power/energy-pkg/                                                     
   110.151842477               1.24 Joules power/energy-cores/                                                   
   110.151842477               0.68 Joules power/energy-psys/                                                    
   111.153208222               4.88 Joules power/energy-pkg/                                                     
   111.153208222               1.26 Joules power/energy-cores/                                                   
   111.153208222               0.68 Joules power/energy-psys/                                                    
   112.154583877               4.82 Joules power/energy-pkg/                                                     
   112.154583877               1.20 Joules power/energy-cores/                                                   
   112.154583877               0.68 Joules power/energy-psys/                                                    
   113.156001177               4.36 Joules power/energy-pkg/                                                     
   113.156001177               1.09 Joules power/energy-cores/                                                   
   113.156001177               0.68 Joules power/energy-psys/                                                    
   114.157412493               4.87 Joules power/energy-pkg/                                                     
   114.157412493               1.22 Joules power/energy-cores/                                                   
   114.157412493               0.68 Joules power/energy-psys/                                                    
   115.158748494               4.81 Joules power/energy-pkg/                                                     
   115.158748494               1.21 Joules power/energy-cores/                                                   
   115.158748494               0.68 Joules power/energy-psys/                                                    
   116.159832015               4.91 Joules power/energy-pkg/                                                     
   116.159832015               1.25 Joules power/energy-cores/                                                   
   116.159832015               0.68 Joules power/energy-psys/                                                    
   117.160791383               4.99 Joules power/energy-pkg/                                                     
   117.160791383               1.22 Joules power/energy-cores/                                                   
   117.160791383               0.68 Joules power/energy-psys/                                                    
   118.162123150               4.54 Joules power/energy-pkg/                                                     
