wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m,panther4/cmd_vel_nav_hz,panther4/cmd_vel_nav_jitter_ms,panther4/amcl_pose_hz,panther4/amcl_pose_jitter_ms,panther4/plan_hz,panther4/plan_jitter_ms,panther4/local_costmap_hz,panther4/local_costmap_jitter_ms,panther4/velodyne_filtered_hz,panther4/velodyne_filtered_jitter_ms,panther4/path_length_m
1787757771.425,99.0,9.9,53.23,0.5,0.00,0.5,0.00,0.5,0.00,2.1,0.00,2.765,9.0,61.57,0.7,0.00,0.0,0.00,0.5,0.00,2.2,55.04,13.806,9.3,55.73,0.5,0.00,0.0,0.00,0.5,0.00,2.2,58.78,14.706,9.8,47.08,0.5,0.00,0.5,0.00,0.5,0.00,2.2,79.62,9.672
1787757776.990,104.6,7.5,112.21,0.5,0.00,1.0,0.00,0.5,0.00,0.5,0.00,1.874,9.9,11.61,0.5,0.00,0.0,0.00,0.5,0.00,1.6,44.01,13.806,9.7,49.74,0.5,0.00,0.0,0.00,0.5,0.00,1.6,30.80,14.706,8.4,91.81,0.5,0.00,0.0,0.00,0.5,0.00,1.6,33.77,9.199
1787757781.971,109.6,9.5,35.39,0.5,0.00,0.0,0.00,0.5,0.00,1.6,0.00,1.874,9.9,10.98,0.5,0.00,0.0,0.00,0.5,0.00,1.5,0.00,13.806,7.0,117.35,0.5,0.00,0.0,0.00,0.5,0.00,0.5,0.00,14.706,6.5,141.51,0.5,0.00,1.0,0.00,0.5,0.00,0.5,0.00,8.305
1787757786.679,114.3,8.0,80.79,0.5,0.00,0.0,0.00,0.5,0.00,2.2,104.36,1.874,9.3,48.22,0.7,0.00,0.0,0.00,0.5,0.00,2.6,37.90,13.806,9.6,49.59,0.5,0.00,0.0,0.00,0.5,0.00,2.2,109.13,14.706,9.3,58.01,0.5,0.00,1.0,0.00,0.5,0.00,2.2,111.37,7.722
1787757791.924,119.5,7.7,105.84,0.5,0.00,0.0,0.00,0.0,0.00,2.3,0.00,1.874,10.0,56.04,0.5,0.00,0.0,0.00,0.5,0.00,2.2,0.00,13.806,9.4,56.04,0.8,0.00,0.0,0.00,0.0,0.00,2.3,13.38,14.706,8.0,93.89,0.7,0.00,1.0,0.00,0.0,0.00,2.2,20.52,7.022
1787757797.268,124.8,6.4,188.41,0.5,0.00,0.0,0.00,0.0,0.00,1.8,48.28,1.874,10.0,34.13,0.0,0.00,0.0,0.00,0.5,0.00,1.8,36.73,13.806,10.3,39.92,0.5,0.00,0.0,0.00,0.0,0.00,1.8,39.10,14.706,10.0,43.13,0.5,0.00,0.9,0.00,0.0,0.00,1.8,48.66,6.153
1787757801.963,129.5,9.9,46.58,0.5,0.00,0.0,0.00,0.0,0.00,2.3,12.88,1.874,10.0,9.22,0.5,0.00,0.0,0.00,0.0,0.00,2.3,2.68,13.806,6.3,156.49,0.5,0.00,0.0,0.00,0.0,0.00,2.3,13.87,14.706,10.2,18.29,0.5,0.00,1.0,0.00,0.5,0.00,2.3,8.67,5.587
1787757807.183,134.8,10.0,35.32,0.0,0.00,1.0,0.00,0.5,0.00,0.0,0.00,0.100,10.0,39.37,0.5,0.00,0.0,0.00,0.0,0.00,0.0,0.00,13.806,7.6,99.04,0.5,0.00,0.0,0.00,0.5,0.00,0.0,0.00,14.706,8.4,76.20,0.5,0.00,0.0,0.00,0.5,0.00,0.0,0.00,5.157
1787757812.938,140.5,7.3,141.17,1.0,0.00,0.0,0.00,0.5,0.00,2.0,57.99,0.100,9.8,36.80,0.5,0.00,0.0,0.00,0.0,0.00,2.0,57.73,13.806,10.0,11.20,0.5,0.00,0.5,0.00,0.5,0.00,2.0,57.51,4.505,9.8,50.39,0.5,0.00,0.0,0.00,0.5,0.00,0.7,0.00,5.157
1787757818.404,146.0,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,2.0,171.03,0.100,10.0,17.75,0.5,0.00,0.0,0.00,0.0,0.00,2.0,159.42,13.806,8.8,68.99,0.5,0.00,1.0,0.00,0.5,0.00,2.1,171.24,3.727,9.7,34.50,0.5,0.00,0.0,0.00,0.5,0.00,2.1,160.65,5.157
