wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787412897.843,156.0,10.0,4.02,2.4,82.73,1.0,0.00,1.0,0.00,5.7,24.30,23.636,10.0,4.05,1.9,32.07,1.0,0.00,1.0,0.00,5.8,31.93,4.907
1787412899.711,157.9,10.0,8.48,1.5,76.55,1.0,0.00,1.0,0.00,5.4,25.78,22.771,10.0,3.73,1.8,34.93,0.5,0.00,1.0,0.00,5.3,22.93,4.557
1787412901.423,159.6,10.0,3.22,2.0,14.94,1.0,0.00,1.0,0.00,5.7,23.72,22.336,10.0,3.04,1.9,28.74,1.0,0.00,1.0,0.00,5.8,25.47,3.828
1787412903.345,161.5,10.0,6.18,1.7,177.55,1.0,0.00,0.8,0.00,5.1,32.05,21.712,10.0,9.85,2.1,131.58,1.0,0.00,0.8,0.00,5.3,30.08,3.073
1787412905.172,163.3,10.0,5.41,2.2,107.93,1.0,0.00,1.0,0.00,5.5,12.16,21.195,10.0,3.43,2.1,105.42,1.0,0.00,1.0,0.00,5.4,18.55,2.121
1787412906.865,165.0,10.1,5.65,2.0,3.24,1.0,0.00,1.0,0.00,5.9,12.50,20.395,10.0,1.62,2.0,38.79,0.5,0.00,1.0,2.74,5.9,20.10,1.664
1787412908.700,166.9,10.0,3.43,1.7,53.84,1.0,0.00,1.0,0.00,5.4,25.62,20.045,10.0,10.28,1.6,90.49,1.0,0.00,1.0,0.00,5.4,24.84,0.745
1787412910.524,168.7,10.0,3.11,1.9,20.73,1.0,0.00,1.0,0.00,5.5,11.56,19.245,10.0,9.94,0.9,0.00,1.0,0.00,1.0,0.00,5.5,13.45,0.283
1787412912.316,170.5,10.0,6.29,1.9,50.91,1.0,0.00,1.0,0.00,5.6,22.95,18.450,10.0,11.38,0.5,0.00,1.0,0.00,1.0,0.00,5.6,19.59,0.121
1787412914.103,172.3,10.0,4.20,1.9,38.24,0.9,0.00,1.0,0.00,5.6,28.45,17.587,10.0,3.18,4.0,64.17,1.0,0.00,1.0,0.00,5.5,32.75,0.071
1787412915.953,174.1,10.0,7.12,1.8,20.75,1.1,0.00,1.0,0.00,5.5,10.87,17.243,10.0,4.49,3.1,91.27,1.0,0.00,1.0,0.00,5.6,16.94,0.050
1787412917.791,176.0,10.0,12.06,1.8,19.26,1.0,0.00,1.0,0.00,5.4,22.08,16.534,10.2,31.57,1.5,115.34,0.9,0.00,1.0,0.00,5.4,21.20,27.550
1787412919.531,177.7,10.0,3.48,2.0,20.32,1.0,0.00,1.0,0.00,5.8,16.17,15.639,10.0,5.15,3.0,16.29,0.9,0.00,1.0,0.00,5.7,19.94,27.435
1787412921.486,179.7,10.0,10.14,1.9,65.49,1.0,0.00,1.0,0.00,5.2,21.34,14.826,10.0,7.29,1.5,82.02,0.9,0.00,1.0,0.00,5.2,17.70,26.703
1787412923.323,181.5,10.0,10.86,2.3,72.57,1.0,0.00,1.0,0.00,5.3,22.77,14.076,10.0,3.82,1.3,20.63,0.9,0.00,1.0,0.00,5.4,31.58,26.300
1787412925.006,183.2,10.0,2.18,2.0,0.74,1.0,0.00,1.0,0.00,4.9,104.35,13.626,10.0,6.29,1.5,8.79,0.9,0.00,1.0,0.00,5.9,13.77,25.562
1787412926.938,185.1,10.0,3.23,1.7,26.27,1.0,0.00,0.8,0.00,5.0,23.98,12.921,9.9,4.80,1.9,63.64,0.9,0.00,0.5,0.00,5.1,25.63,25.041
