wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m
1788343214.453,278.000,223.8,10.02,2.57,17.78,14.78,0.94,0.00,1.87,94.28,0.97,0.00,1.70,10.50,1.00,0.57,1.77,9.98,6.23,173.93,10.56,99.86,0.262,10.01,0.87,17.71,15.17,1.42,3.82,2.50,0.00,0.99,0.00,1.73,9.98,1.00,0.00,1.76,16.11,6.23,173.84,10.56,99.86,5.185
1788343216.162,279.000,225.5,10.02,1.54,17.49,15.01,0.58,0.00,1.25,200.00,0.97,0.00,1.69,9.43,1.00,0.05,1.72,13.60,6.42,168.84,10.56,99.86,0.071,10.00,1.31,17.42,14.90,1.47,3.95,2.50,0.00,0.97,0.00,1.69,17.99,1.00,0.00,1.71,10.50,6.42,169.06,10.56,99.86,4.764
1788343217.941,280.000,227.2,10.00,3.11,17.53,12.40,2.81,17.99,5.00,0.00,0.97,0.00,1.72,26.40,1.00,0.82,1.74,19.69,6.18,176.29,10.56,99.86,0.000,10.00,2.06,17.56,13.48,1.38,31.19,2.50,0.00,0.98,0.00,1.68,11.31,1.00,0.00,1.74,17.99,6.18,176.31,10.56,99.86,4.014
1788343219.691,281.000,229.0,9.99,1.54,17.57,11.36,2.87,9.04,5.00,0.00,0.98,0.00,1.74,21.75,1.00,0.00,1.78,9.98,6.30,172.84,10.56,99.86,0.000,9.99,1.84,17.61,12.27,1.45,19.72,2.50,0.00,0.98,0.00,1.70,6.53,1.00,1.83,1.78,9.98,6.30,172.16,10.56,99.86,3.285
1788343221.422,282.000,230.7,10.61,21.12,18.12,16.14,2.30,153.33,4.44,66.14,1.28,248.92,2.04,146.22,1.00,0.00,1.75,11.78,6.33,171.84,10.56,99.86,24.469,10.00,1.62,17.38,12.61,2.90,7.24,3.75,94.28,0.98,0.00,1.69,4.99,1.00,0.00,1.75,14.73,6.33,171.87,10.56,99.86,2.346
1788343223.190,283.000,232.5,10.01,1.22,18.18,16.37,2.31,141.59,3.89,90.35,1.26,260.05,2.00,152.87,1.00,0.00,1.72,9.43,6.33,172.17,10.56,99.86,24.349,9.97,1.71,17.24,13.02,1.75,155.10,3.75,94.28,0.97,0.00,1.69,8.22,1.00,0.00,1.71,8.64,6.33,171.89,10.56,99.86,1.881
1788343224.940,284.000,234.2,10.01,2.04,17.61,13.68,1.66,163.29,3.33,100.00,0.93,0.00,1.67,16.44,1.00,0.00,1.76,18.57,6.20,175.61,10.56,99.86,23.585,10.03,2.09,17.68,13.76,1.42,15.47,2.50,0.00,0.97,0.00,1.72,24.73,1.00,0.00,1.75,19.96,6.19,174.58,10.56,99.86,0.957
1788343226.697,285.000,236.0,9.99,5.30,17.54,13.53,1.42,6.29,2.50,0.00,0.97,0.00,1.66,1.89,1.00,0.66,1.75,7.54,6.27,173.57,10.56,99.86,22.616,10.00,1.60,17.64,13.61,1.43,7.73,2.50,0.00,0.97,0.00,1.69,7.54,1.00,0.10,1.76,11.31,6.26,173.11,10.56,99.86,0.191
1788343228.450,286.000,237.8,10.00,1.86,17.63,13.21,1.47,12.08,2.50,0.00,0.95,0.00,1.66,3.27,0.97,0.00,1.74,15.43,6.40,169.86,10.56,99.86,22.162,10.00,2.89,17.57,13.99,0.98,0.00,1.87,94.28,0.98,0.00,1.69,8.64,1.00,0.00,1.74,16.44,6.40,169.56,10.56,99.86,0.050
1788343230.266,287.000,239.6,10.00,0.98,17.89,14.83,1.36,0.99,2.50,0.00,0.97,0.00,1.69,13.06,1.03,0.00,1.78,31.38,5.92,184.19,10.56,99.86,21.385,10.01,1.87,18.00,14.08,2.69,17.35,3.75,149.07,0.97,0.00,1.75,19.87,1.00,0.00,1.78,32.71,5.92,184.04,10.56,99.86,0.050
1788343232.030,288.000,241.3,10.00,1.24,18.12,15.20,1.42,0.13,2.50,0.00,0.96,0.00,1.73,3.77,1.00,8.57,1.82,21.75,6.25,174.17,10.56,99.86,20.627,10.00,1.93,17.97,13.60,2.83,6.93,5.00,0.00,0.97,0.00,1.73,15.43,1.00,5.02,1.82,24.51,6.25,173.35,10.56,99.86,0.071
1788343233.749,289.000,243.1,10.00,3.18,17.63,14.40,1.48,0.95,2.50,0.00,0.97,0.00,1.67,10.50,1.00,1.15,1.75,15.43,6.42,169.28,10.56,99.86,19.982,10.22,25.65,17.61,17.52,1.47,342.62,3.33,152.75,1.11,141.10,1.86,88.86,1.00,0.91,1.74,16.76,6.42,168.68,10.56,99.86,23.753
1788343235.611,290.000,244.9,10.00,5.22,17.93,12.93,1.34,3.49,2.50,0.00,0.96,0.00,1.70,25.51,1.00,0.00,1.79,29.45,5.90,184.72,10.56,99.86,19.627,10.00,1.28,18.18,19.67,2.74,17.67,3.75,149.07,0.96,0.00,1.74,24.07,1.00,0.00,1.79,33.15,5.89,184.20,10.56,99.86,23.247
1788343237.373,291.000,246.7,10.00,0.86,18.11,12.57,1.41,8.14,2.50,0.00,0.97,0.00,1.77,14.24,1.00,0.04,1.82,21.42,6.22,174.90,10.56,99.86,18.873,10.00,1.50,18.22,16.86,1.40,11.93,3.33,100.00,0.97,0.00,1.76,13.20,1.00,0.12,1.83,24.51,6.22,174.15,10.56,99.86,22.792
