# started on Wed Sep  2 11:56:28 2026

#           time             counts   unit events
    97.135075186               0.68 Joules power/energy-psys/                                                    
    98.136085961               5.94 Joules power/energy-pkg/                                                     
    98.136085961               2.09 Joules power/energy-cores/                                                   
    98.136085961               0.68 Joules power/energy-psys/                                                    
    99.137451100               6.11 Joules power/energy-pkg/                                                     
    99.137451100               2.20 Joules power/energy-cores/                                                   
    99.137451100               0.68 Joules power/energy-psys/                                                    
   100.138055935               6.05 Joules power/energy-pkg/                                                     
   100.138055935               2.14 Joules power/energy-cores/                                                   
   100.138055935               0.68 Joules power/energy-psys/                                                    
   101.139425166               6.04 Joules power/energy-pkg/                                                     
   101.139425166               2.17 Joules power/energy-cores/                                                   
   101.139425166               0.68 Joules power/energy-psys/                                                    
   102.140891248               5.72 Joules power/energy-pkg/                                                     
   102.140891248               1.97 Joules power/energy-cores/                                                   
   102.140891248               0.68 Joules power/energy-psys/                                                    
   103.142267231               5.86 Joules power/energy-pkg/                                                     
   103.142267231               2.04 Joules power/energy-cores/                                                   
   103.142267231               0.68 Joules power/energy-psys/                                                    
   104.143648711               5.87 Joules power/energy-pkg/                                                     
   104.143648711               2.06 Joules power/energy-cores/                                                   
   104.143648711               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   105.144047594               6.30 Joules power/energy-pkg/                                                     
   105.144047594               2.11 Joules power/energy-cores/                                                   
   105.144047594               0.68 Joules power/energy-psys/                                                    
   106.145406774               6.11 Joules power/energy-pkg/                                                     
   106.145406774               2.19 Joules power/energy-cores/                                                   
   106.145406774               0.68 Joules power/energy-psys/                                                    
   107.146777982               5.68 Joules power/energy-pkg/                                                     
   107.146777982               1.93 Joules power/energy-cores/                                                   
   107.146777982               0.68 Joules power/energy-psys/                                                    
   108.148092893               5.45 Joules power/energy-pkg/                                                     
   108.148092893               1.82 Joules power/energy-cores/                                                   
   108.148092893               0.68 Joules power/energy-psys/                                                    
   109.149370816               5.98 Joules power/energy-pkg/                                                     
   109.149370816               2.06 Joules power/energy-cores/                                                   
   109.149370816               0.68 Joules power/energy-psys/                                                    
   110.150057009               5.93 Joules power/energy-pkg/                                                     
   110.150057009               2.10 Joules power/energy-cores/                                                   
   110.150057009               0.68 Joules power/energy-psys/                                                    
   111.151390474               6.23 Joules power/energy-pkg/                                                     
   111.151390474               2.17 Joules power/energy-cores/                                                   
   111.151390474               0.68 Joules power/energy-psys/                                                    
   112.152754329               5.85 Joules power/energy-pkg/                                                     
   112.152754329               2.02 Joules power/energy-cores/                                                   
   112.152754329               0.68 Joules power/energy-psys/                                                    
   113.154087949               5.58 Joules power/energy-pkg/                                                     
   113.154087949               1.83 Joules power/energy-cores/                                                   
   113.154087949               0.68 Joules power/energy-psys/                                                    
   114.155372527               5.66 Joules power/energy-pkg/                                                     
   114.155372527               1.90 Joules power/energy-cores/                                                   
   114.155372527               0.68 Joules power/energy-psys/                                                    
   115.156818261               5.95 Joules power/energy-pkg/                                                     
   115.156818261               2.07 Joules power/energy-cores/                                                   
   115.156818261               0.68 Joules power/energy-psys/                                                    
   116.158263461               5.73 Joules power/energy-pkg/                                                     
   116.158263461               2.02 Joules power/energy-cores/                                                   
   116.158263461               0.68 Joules power/energy-psys/                                                    
   117.159177072               6.11 Joules power/energy-pkg/                                                     
   117.159177072               2.15 Joules power/energy-cores/                                                   
   117.159177072               0.68 Joules power/energy-psys/                                                    
   118.162308796               5.59 Joules power/energy-pkg/                                                     
   118.162308796               1.90 Joules power/energy-cores/                                                   
   118.162308796               0.68 Joules power/energy-psys/                                                    
   119.163804913               5.63 Joules power/energy-pkg/                                                     
   119.163804913               1.86 Joules power/energy-cores/                                                   
   119.163804913               0.68 Joules power/energy-psys/                                                    
   120.165422804               5.68 Joules power/energy-pkg/                                                     
   120.165422804               1.91 Joules power/energy-cores/                                                   
   120.165422804               0.68 Joules power/energy-psys/                                                    
   121.166900684               6.02 Joules power/energy-pkg/                                                     
   121.166900684               2.08 Joules power/energy-cores/                                                   
   121.166900684               0.68 Joules power/energy-psys/                                                    
   122.168051973               5.57 Joules power/energy-pkg/                                                     
   122.168051973               1.93 Joules power/energy-cores/                                                   
   122.168051973               0.68 Joules power/energy-psys/                                                    
   123.169540974               5.82 Joules power/energy-pkg/                                                     
   123.169540974               1.94 Joules power/energy-cores/                                                   
   123.169540974               0.68 Joules power/energy-psys/                                                    
   124.170912071               5.34 Joules power/energy-pkg/                                                     
   124.170912071               1.71 Joules power/energy-cores/                                                   
   124.170912071               0.68 Joules power/energy-psys/                                                    
   125.172268717               6.01 Joules power/energy-pkg/                                                     
   125.172268717               2.07 Joules power/energy-cores/                                                   
   125.172268717               0.68 Joules power/energy-psys/                                                    
   126.174388507               5.78 Joules power/energy-pkg/                                                     
   126.174388507               1.98 Joules power/energy-cores/                                                   
   126.174388507               0.68 Joules power/energy-psys/                                                    
   127.175891994               5.87 Joules power/energy-pkg/                                                     
   127.175891994               1.97 Joules power/energy-cores/                                                   
   127.175891994               0.68 Joules power/energy-psys/                                                    
   128.177395470               6.15 Joules power/energy-pkg/                                                     
   128.177395470               2.09 Joules power/energy-cores/                                                   
   128.177395470               0.68 Joules power/energy-psys/                                                    
   129.178820086               5.77 Joules power/energy-pkg/                                                     
   129.178820086               1.93 Joules power/energy-cores/                                                   
   129.178820086               0.68 Joules power/energy-psys/                                                    
   130.180338644               5.51 Joules power/energy-pkg/                                                     
   130.180338644               1.78 Joules power/energy-cores/                                                   
   130.180338644               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   131.181693480               6.04 Joules power/energy-pkg/                                                     
   131.181693480               2.08 Joules power/energy-cores/                                                   
   131.181693480               0.68 Joules power/energy-psys/                                                    
   132.183092148               6.01 Joules power/energy-pkg/                                                     
   132.183092148               2.14 Joules power/energy-cores/                                                   
   132.183092148               0.68 Joules power/energy-psys/                                                    
   133.184361259               6.02 Joules power/energy-pkg/                                                     
   133.184361259               2.14 Joules power/energy-cores/                                                   
   133.184361259               0.68 Joules power/energy-psys/                                                    
   134.185721303               5.76 Joules power/energy-pkg/                                                     
   134.185721303               1.95 Joules power/energy-cores/                                                   
   134.185721303               0.68 Joules power/energy-psys/                                                    
   135.187053507               5.81 Joules power/energy-pkg/                                                     
   135.187053507               1.96 Joules power/energy-cores/                                                   
   135.187053507               0.68 Joules power/energy-psys/                                                    
   136.188389861               5.83 Joules power/energy-pkg/                                                     
   136.188389861               1.95 Joules power/energy-cores/                                                   
   136.188389861               0.68 Joules power/energy-psys/                                                    
   137.189087823               6.00 Joules power/energy-pkg/                                                     
   137.189087823               2.09 Joules power/energy-cores/                                                   
   137.189087823               0.68 Joules power/energy-psys/                                                    
   138.190482553               5.96 Joules power/energy-pkg/                                                     
