wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787412178.207,209.2,10.0,0.46,2.3,24.55,1.0,0.00,1.3,0.19,7.0,13.05,5.823
1787412179.638,210.6,10.0,0.59,2.2,52.32,1.0,0.00,1.3,0.02,7.0,12.55,5.359
1787412181.103,212.1,10.0,0.54,2.3,30.15,1.0,0.00,1.2,0.00,6.8,15.78,5.028
1787412182.532,213.5,10.0,0.38,2.1,69.47,1.0,0.00,1.3,0.00,7.0,7.12,4.108
1787412184.029,215.0,10.0,0.87,2.2,36.23,1.0,0.00,1.2,0.00,6.8,18.29,3.658
1787412185.492,216.5,10.0,0.50,2.3,15.71,1.0,0.00,1.2,3.65,6.8,14.21,2.668
1787412186.939,217.9,10.0,1.14,2.3,12.99,1.0,0.00,1.2,1.59,7.0,26.07,2.103
1787412188.360,219.3,10.0,1.49,2.3,12.25,0.5,0.00,1.3,0.00,7.0,14.13,1.499
1787412189.825,220.8,10.0,1.43,2.1,48.29,1.0,0.00,1.3,0.00,6.9,13.36,0.504
1787412191.318,222.3,10.0,1.29,1.3,133.71,1.0,0.00,1.2,0.00,6.8,11.74,0.341
1787412192.784,223.8,10.0,1.75,0.7,0.00,1.0,0.00,1.3,0.00,6.8,26.80,0.050
1787412194.226,225.2,10.0,1.27,3.2,45.04,1.0,0.00,1.3,1.99,6.9,9.97,0.000
1787412195.733,226.7,10.0,0.88,5.4,62.28,1.0,0.00,1.3,0.62,6.7,15.25,0.000
1787412197.193,228.2,10.0,1.48,3.4,14.60,1.0,0.00,1.2,0.00,6.8,9.94,0.050
1787412198.670,229.6,10.7,22.24,2.7,101.30,9.9,0.00,1.2,0.00,6.8,19.06,24.469
1787412200.134,231.1,10.0,1.78,2.9,78.47,1.0,0.00,1.2,0.00,7.0,10.78,23.726
1787412201.600,232.6,10.0,1.95,2.3,18.94,1.0,0.00,1.2,0.06,6.8,11.89,23.181
1787412203.064,234.0,10.0,2.10,2.3,11.42,1.0,0.00,1.3,0.92,6.9,8.81,22.121
1787412204.550,235.5,10.0,2.13,2.2,16.59,1.0,0.00,1.3,1.15,5.6,93.92,21.646
1787412206.020,237.0,10.0,1.79,2.0,96.29,0.5,0.00,1.3,0.54,6.8,12.38,21.151
1787412207.501,238.5,10.0,1.58,2.0,44.94,1.0,0.00,1.3,0.00,6.7,26.42,20.297
1787412208.960,239.9,10.0,1.30,2.4,32.19,1.0,0.00,1.2,0.00,6.9,23.48,19.927
1787412210.462,241.4,10.0,1.54,2.2,33.97,1.0,0.00,1.3,0.00,6.6,20.32,19.082
1787412211.941,242.9,10.0,1.92,2.3,12.30,1.0,0.00,1.3,0.83,6.8,11.65,18.663
1787412213.424,244.4,10.0,1.49,2.2,4.58,1.0,0.00,1.2,0.12,6.7,12.14,17.684
1787412214.943,245.9,10.0,2.80,2.2,26.69,1.0,0.00,1.3,0.31,6.7,11.29,17.181
1787412216.394,247.4,10.0,2.05,2.3,1.61,1.0,0.00,1.2,0.04,6.6,12.69,16.137
1787412217.935,248.9,10.0,1.87,2.3,28.49,1.0,0.00,1.0,0.00,6.5,24.98,15.685
1787412219.410,250.4,10.0,1.90,2.3,7.32,1.0,0.00,1.2,0.00,6.8,7.66,15.181
1787412220.896,251.9,10.0,1.56,2.1,28.81,1.0,0.00,1.3,0.30,6.7,24.10,14.308
1787412222.353,253.3,10.0,1.31,2.4,24.85,1.0,0.00,1.2,0.20,7.1,12.84,13.861
1787412223.851,254.8,10.0,1.28,2.2,10.43,1.0,0.00,1.2,0.26,6.8,13.51,12.908
1787412225.329,256.3,10.0,1.05,2.3,64.72,1.0,0.00,1.3,0.00,6.7,28.73,12.377
1787412226.854,257.8,10.0,1.13,2.4,45.14,1.0,0.00,1.2,0.00,6.6,19.94,11.374
1787412228.340,259.3,10.0,1.41,2.7,64.50,1.0,0.00,1.2,0.00,6.8,10.61,10.874
1787412229.858,260.8,10.0,1.61,2.4,80.13,1.0,0.00,1.3,0.00,6.6,13.18,9.824
1787412231.323,262.3,10.0,1.62,2.3,2.52,1.0,0.00,1.2,0.07,6.8,9.28,9.386
1787412232.873,263.8,10.0,1.42,2.1,12.62,1.0,0.00,1.3,0.11,6.5,20.38,8.386
1787412234.410,265.4,10.0,1.75,2.2,22.21,1.0,0.00,1.1,99.86,6.6,12.11,7.936
1787412235.927,266.9,10.0,1.88,2.2,37.50,0.5,0.00,1.3,0.00,6.6,14.45,7.436
1787412237.430,268.4,10.0,1.41,2.3,5.33,1.0,0.00,1.2,0.00,6.7,9.87,6.473
1787412238.932,269.9,10.0,1.00,2.4,69.19,1.0,0.00,1.2,0.00,6.6,10.31,5.973
1787412240.420,271.4,10.0,1.57,2.2,7.39,1.0,0.00,1.3,0.00,6.7,12.45,5.027
1787412241.916,272.9,10.0,1.61,2.2,14.72,1.0,0.00,1.3,0.82,6.7,10.18,4.626
1787412243.374,274.3,10.0,1.49,2.3,5.84,1.0,0.00,1.2,0.25,6.9,12.48,3.676
1787412244.905,275.9,10.0,1.46,2.4,59.25,1.0,0.00,1.2,0.66,6.6,5.63,3.220
1787412246.423,277.4,10.0,1.86,3.0,50.85,1.0,0.00,1.2,1.21,6.6,13.36,2.136
1787412247.906,278.9,10.0,2.16,2.2,12.86,1.0,0.00,1.3,0.00,6.7,23.98,1.640
1787412249.448,280.4,10.0,1.19,2.2,16.44,1.0,0.00,1.2,0.00,6.5,14.27,0.545
1787412250.955,281.9,10.0,2.32,1.9,75.89,1.0,0.00,1.2,0.00,6.6,15.73,0.191
1787412252.454,283.4,10.0,1.65,4.0,75.32,1.0,0.00,1.3,0.00,6.8,27.27,0.000
1787412253.948,284.9,10.0,2.11,5.4,66.43,1.0,0.00,1.2,0.77,7.0,16.00,0.000
1787412255.439,286.4,10.7,22.68,2.4,120.33,1.3,0.00,1.2,2.28,6.7,14.30,23.727
1787412256.988,288.0,10.7,22.21,3.2,94.28,0.9,0.00,1.3,1.16,6.5,9.36,23.720
1787412258.524,289.5,10.0,4.34,2.7,76.16,1.0,0.00,1.3,0.16,6.5,12.11,23.126
1787412260.050,291.0,10.0,1.13,1.9,78.17,1.0,0.00,1.2,0.85,6.5,7.15,22.705
1787412261.540,292.5,10.0,0.79,2.2,7.10,1.0,0.00,1.3,0.00,6.7,5.36,21.733
1787412263.118,294.1,10.0,0.93,2.1,6.17,1.0,0.00,1.2,0.00,6.4,9.16,21.344
1787412264.706,295.7,10.0,1.59,2.1,56.88,1.0,0.00,1.2,0.00,6.3,20.10,20.526
1787412266.225,297.2,10.0,0.84,2.2,13.56,1.0,0.00,1.3,0.00,6.6,7.02,20.085
1787412267.811,298.8,10.0,2.90,2.1,27.68,1.0,0.00,1.0,0.00,6.3,11.53,19.171
1787412269.377,300.4,10.0,2.98,2.1,17.04,1.0,0.00,1.2,0.94,6.4,16.21,18.799
1787412270.885,301.9,10.0,2.31,2.2,21.47,1.0,0.00,1.2,1.54,6.6,11.83,17.951
1787412272.367,303.3,10.0,2.73,2.2,10.64,1.0,0.00,1.3,0.00,6.6,12.45,17.485
1787412273.975,304.9,10.0,0.98,2.1,21.61,1.0,0.00,1.0,0.00,6.3,8.81,16.796
1787412275.553,306.5,10.0,1.30,2.1,15.75,1.0,0.00,1.2,0.00,6.4,20.35,16.434
1787412277.080,308.1,10.0,1.14,2.2,20.46,1.0,0.00,1.3,0.79,6.5,11.40,15.581
1787412278.634,309.6,10.0,1.05,2.2,9.70,1.0,0.00,1.2,3.44,6.4,5.61,15.138
1787412280.253,311.2,10.0,0.95,2.2,36.54,1.0,0.00,1.0,0.00,6.2,31.82,14.255
