wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m
1787757125.112,154.0,10.1,3.80,1.4,0.00,1.0,0.00,0.8,0.00,4.1,46.06,12.696,10.0,12.83,1.4,0.00,1.0,0.00,0.9,0.00,4.2,43.21,19.948,10.0,6.63,1.4,2.38,1.0,0.00,0.8,0.00,4.2,43.69,24.178
1787757127.704,156.6,10.0,6.79,1.2,100.85,1.0,0.00,0.7,0.00,3.6,39.68,11.852,10.1,7.03,1.2,103.35,1.0,0.00,0.7,0.00,3.6,43.41,19.298,10.0,14.38,1.5,57.59,0.9,0.00,0.5,0.00,3.6,40.74,23.307
1787757130.523,159.4,10.0,15.91,2.0,41.68,1.0,0.00,0.7,0.00,3.7,60.21,11.050,10.2,16.60,1.3,0.00,1.0,0.00,0.7,0.00,3.7,62.35,18.648,10.0,13.79,1.2,0.00,1.0,0.00,0.5,0.00,3.7,60.72,22.852
1787757132.895,161.8,10.0,15.50,1.4,41.47,1.0,0.00,0.5,0.00,4.2,36.14,10.387,10.0,4.51,1.5,0.00,1.0,0.00,0.7,0.00,4.2,36.96,18.072,10.0,4.44,1.4,19.55,0.9,0.00,0.5,0.00,4.2,35.69,21.983
1787757135.945,164.8,10.0,4.29,0.9,0.00,1.0,0.00,0.5,0.00,3.0,72.24,9.670,10.0,5.95,1.1,0.00,1.0,0.00,0.5,0.00,3.0,90.92,17.337,10.1,14.29,0.9,0.00,1.0,0.00,0.5,0.00,3.0,88.46,21.303
1787757138.383,167.3,10.0,2.25,1.3,0.00,1.0,0.00,0.5,0.00,4.1,30.28,9.083,10.0,4.69,1.4,53.63,1.0,0.00,0.5,0.00,4.1,32.56,16.443,10.0,17.31,1.1,0.00,0.9,0.00,0.8,0.00,4.1,31.38,20.833
1787757141.368,170.3,10.0,23.45,0.8,0.00,1.0,0.00,0.5,0.00,3.2,35.68,8.403,9.7,14.03,1.1,0.00,1.0,0.00,0.5,0.00,3.1,57.09,15.895,10.0,7.32,0.5,0.00,0.9,0.00,0.5,0.00,3.2,41.25,20.267
1787757143.963,172.8,10.0,5.02,1.2,0.00,1.0,0.00,0.7,0.00,3.9,41.75,7.717,10.1,6.38,1.3,81.38,1.0,0.00,0.7,0.00,4.0,40.13,15.176,10.1,8.64,1.3,83.36,1.0,0.00,0.7,0.00,4.0,38.97,19.764
1787757146.587,175.5,10.0,9.88,1.3,25.53,1.0,0.00,0.7,0.00,3.8,40.96,7.167,10.0,7.46,1.1,0.00,0.5,0.00,0.7,0.00,3.8,40.82,14.626,10.0,7.48,1.1,0.00,0.9,0.00,0.7,0.00,3.8,40.38,19.041
1787757149.458,178.3,10.2,5.90,1.2,0.00,1.0,0.00,0.7,0.00,4.0,45.95,6.446,9.9,18.55,1.2,0.00,1.0,0.00,0.5,0.00,4.0,46.26,13.884,10.0,11.15,1.6,222.95,0.5,0.00,0.5,0.00,4.0,47.25,18.461
1787757152.115,181.0,9.8,8.77,1.3,0.00,1.0,0.00,0.5,0.00,3.9,38.30,5.576,9.9,16.26,1.3,1.73,1.0,0.00,0.5,0.00,3.9,39.99,13.078,10.0,11.42,1.2,0.00,1.0,0.00,0.5,0.00,3.9,38.06,17.572
1787757154.919,183.8,10.0,8.20,1.1,77.07,1.0,0.00,0.5,0.00,3.3,44.37,5.076,10.0,20.11,1.1,0.00,0.5,0.00,0.5,0.00,3.3,39.65,12.617,10.0,18.29,1.1,0.00,1.0,0.00,0.5,0.00,3.3,43.42,16.966
1787757157.502,186.4,10.1,6.14,1.6,113.54,1.0,0.00,0.5,0.00,3.9,25.01,4.176,10.0,14.57,1.3,33.30,1.0,0.00,0.5,0.00,3.9,24.44,11.699,10.0,4.12,1.0,0.00,1.0,0.00,0.5,0.00,3.9,24.46,16.522
1787757160.456,189.3,10.0,23.80,0.9,0.00,1.0,0.00,0.5,0.00,3.0,54.79,3.462,10.0,14.46,1.6,0.00,1.0,0.00,0.5,0.00,3.0,59.53,10.949,10.0,19.86,0.5,0.00,1.0,0.00,0.5,0.00,3.0,57.16,16.366
1787757163.123,192.0,10.0,12.16,2.0,17.82,1.0,0.00,0.7,0.00,3.9,29.38,2.893,10.0,28.14,1.5,120.65,0.5,0.00,0.7,0.00,3.9,27.02,10.344,10.0,12.71,0.5,0.00,1.0,0.00,0.7,0.00,3.9,27.83,15.524
1787757165.873,194.8,10.0,10.11,1.4,90.19,1.0,0.00,0.6,0.00,3.6,50.21,1.923,10.0,16.60,1.1,0.00,1.0,0.00,0.5,0.00,3.6,50.35,9.488,10.3,18.36,0.9,0.00,1.0,0.00,0.6,0.00,3.6,52.76,15.135
1787757168.723,197.6,10.0,9.11,1.3,0.00,1.0,0.00,0.5,0.00,3.6,32.12,1.071,10.2,16.35,1.2,45.36,1.0,0.00,0.5,0.00,3.7,33.35,8.816,10.1,15.58,1.3,0.00,1.0,0.00,0.5,0.00,3.7,33.72,14.447
1787757171.269,200.2,10.0,10.77,0.9,0.00,1.0,0.00,0.5,0.00,3.9,43.79,0.495,10.0,13.22,1.1,0.00,1.0,0.00,0.5,0.00,3.9,42.28,8.322,10.0,13.94,1.8,18.05,0.5,0.00,0.5,0.00,3.9,42.18,13.847
1787757174.301,203.2,10.0,10.99,0.5,0.00,1.0,0.00,0.5,0.00,3.4,37.25,0.191,10.1,11.31,1.1,0.00,1.0,0.00,0.5,0.00,3.4,36.58,7.626,10.0,5.71,1.1,0.00,1.0,0.00,0.5,0.00,3.4,38.31,12.993
1787757176.826,205.7,10.0,6.07,1.8,28.04,1.0,0.00,0.7,0.00,3.8,33.90,0.050,10.0,11.42,1.3,22.14,1.0,0.00,0.7,0.00,3.8,38.40,6.826,10.0,10.85,1.3,24.91,1.0,0.00,0.5,0.00,3.8,35.75,12.109
1787757179.919,208.8,10.0,19.63,1.8,158.97,1.0,0.00,0.5,0.00,2.9,83.12,0.071,10.0,9.95,0.9,0.00,1.0,0.00,0.5,0.00,2.9,76.22,6.112,10.0,23.88,0.9,0.00,1.0,0.00,0.5,0.00,2.9,83.66,11.381
1787757182.478,211.4,10.0,6.07,1.7,142.91,1.0,0.00,0.7,0.00,4.0,27.58,0.100,10.0,2.22,1.4,0.00,1.0,0.00,0.7,0.00,4.0,33.53,5.668,10.0,14.78,1.4,0.00,1.0,0.00,0.7,0.00,4.0,29.44,10.816
1787757185.601,214.5,10.0,14.79,1.7,247.99,1.0,0.00,0.6,0.00,2.6,92.48,23.998,10.0,3.18,0.8,0.00,1.0,0.00,0.5,0.00,2.8,94.03,5.084,10.0,5.05,0.8,0.00,1.0,0.00,0.6,0.00,2.8,92.16,10.230
1787757188.220,217.1,10.0,24.26,1.3,229.05,1.0,0.00,0.5,0.00,3.9,45.39,23.482,10.0,8.78,1.3,71.44,1.0,0.00,0.5,0.00,3.9,46.33,4.292,10.0,14.17,1.3,71.53,1.0,0.00,0.5,0.00,3.9,44.46,9.566
1787757191.346,220.2,10.0,17.61,1.0,0.00,0.9,0.00,0.5,0.00,2.6,97.34,22.612,10.0,24.10,1.1,0.00,1.0,0.00,0.5,0.00,2.8,106.08,3.613,10.0,2.90,1.1,0.00,1.0,0.00,0.5,0.00,2.8,101.88,8.886
1787757194.007,222.9,10.0,20.89,1.1,0.00,1.0,0.00,0.5,0.00,4.0,36.79,22.107,10.0,2.19,1.6,124.50,0.5,0.00,0.5,0.00,4.0,36.96,3.200,10.0,2.91,1.4,19.71,1.0,0.00,0.5,0.00,4.0,36.52,8.086
1787757196.997,225.9,10.0,15.11,1.1,0.00,1.0,0.00,0.5,0.00,3.3,41.43,21.453,9.7,14.11,1.0,0.00,1.0,0.00,0.5,0.00,3.4,33.05,2.159,10.0,4.76,1.1,0.00,0.5,0.00,0.5,0.00,3.4,30.82,7.506
1787757199.830,228.7,10.0,4.57,1.4,0.00,1.0,0.00,0.7,0.00,4.0,26.01,20.856,10.0,8.38,1.4,0.00,1.0,0.00,0.7,0.00,4.1,25.47,1.381,10.0,15.36,1.3,0.00,1.0,0.00,0.7,0.00,4.0,26.14,6.780
1787757202.586,231.5,10.0,3.18,1.2,0.00,1.0,0.00,0.7,0.00,3.7,42.75,20.145,9.7,18.48,0.9,0.00,1.0,0.00,0.7,0.00,3.7,40.34,0.616,10.0,10.14,1.2,8.95,1.0,0.00,0.6,0.00,3.7,41.00,6.056
1787757205.510,234.4,10.1,4.35,1.2,40.46,1.0,0.00,0.7,0.00,3.7,31.36,19.645,10.1,14.46,0.7,0.00,1.0,0.00,0.7,0.00,3.7,32.74,0.333,10.0,18.92,1.3,0.00,1.0,0.00,0.5,0.00,3.7,32.59,5.373
1787757208.247,237.1,10.0,2.37,1.2,0.00,1.0,0.00,0.7,0.00,3.8,32.63,18.845,10.2,6.61,0.0,0.00,1.0,0.00,0.5,0.00,3.8,30.95,0.241,10.0,3.97,1.2,0.00,1.0,0.00,0.5,0.00,3.8,32.60,4.927
1787757211.257,240.1,10.0,11.95,1.0,0.00,1.0,0.00,0.5,0.00,3.5,19.55,18.151,10.0,11.13,0.5,0.00,1.0,0.00,0.5,0.00,3.2,73.35,0.150,10.3,23.07,1.2,0.00,1.0,0.00,0.5,0.00,3.2,76.82,4.398
1787757213.978,242.9,10.0,5.54,1.2,47.18,1.0,0.00,0.5,0.00,3.5,20.14,17.337,9.9,23.11,1.2,331.95,1.0,0.00,0.5,0.00,3.5,20.89,0.100,10.0,4.33,1.2,0.00,1.0,0.00,0.5,0.00,3.5,20.38,3.714
