wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787410572.879,137.5,10.0,8.67,2.3,83.23,1.0,0.00,1.0,0.00,5.5,12.60,2.946,10.0,9.29,1.8,12.32,1.0,0.00,1.0,0.00,5.5,11.09,8.511
1787410574.778,139.4,10.0,7.22,2.6,21.48,1.0,0.00,1.0,0.00,5.3,23.98,2.455,10.0,6.60,1.8,28.70,1.0,0.00,1.0,0.00,5.3,21.11,7.922
1787410576.644,141.2,10.0,8.34,1.8,24.16,1.0,0.00,1.0,0.00,5.4,15.91,1.566,10.0,8.75,1.8,22.08,1.0,0.00,1.0,0.00,5.4,23.31,7.222
1787410578.527,143.1,10.0,7.85,1.8,23.07,1.0,0.00,1.0,0.00,5.4,14.73,0.686,10.0,10.55,2.6,8.26,1.0,0.00,1.0,0.00,5.3,11.23,6.472
1787410580.319,144.9,10.0,8.81,1.3,0.00,1.0,0.00,1.0,0.00,5.7,15.97,0.212,10.0,10.57,2.5,91.84,1.0,0.00,1.0,0.00,5.6,16.65,5.557
1787410582.204,146.8,10.0,4.99,1.3,411.10,1.0,0.00,0.8,0.00,5.3,35.84,0.050,10.0,7.30,2.6,68.06,1.0,0.00,0.8,0.00,5.3,33.99,5.170
1787410584.123,148.7,10.0,4.91,4.0,97.96,1.0,0.00,1.0,0.00,5.2,16.84,0.071,9.9,7.06,1.7,18.85,1.0,0.00,1.0,0.00,5.2,17.81,4.376
1787410586.022,150.6,10.0,4.89,2.2,77.45,1.0,0.00,0.9,0.00,5.2,20.81,0.100,10.1,6.00,1.8,21.06,1.0,0.00,1.0,0.00,5.2,21.97,3.642
1787410588.007,152.6,10.5,23.61,1.9,276.52,1.5,378.27,1.0,0.00,5.1,36.21,23.998,10.0,10.90,2.1,170.80,1.0,0.00,0.8,0.00,5.1,37.00,2.864
1787410589.971,154.6,10.0,5.85,2.2,72.74,1.0,0.00,1.0,0.00,5.1,14.71,23.744,10.0,9.75,1.7,12.62,1.0,0.00,1.0,0.00,5.1,17.51,2.051
1787410591.868,156.4,10.0,3.26,1.3,0.00,1.0,0.00,0.5,0.00,5.3,28.83,23.101,10.0,4.55,1.8,8.61,1.0,0.00,1.0,0.00,5.3,31.66,1.169
1787410593.695,158.3,10.0,4.28,1.7,19.82,0.5,0.00,1.0,0.00,5.4,21.72,22.657,10.0,5.75,1.6,44.78,1.0,0.00,1.0,0.00,5.5,22.78,0.474
1787410595.641,160.2,10.0,5.79,1.3,8.72,0.9,0.00,0.8,0.00,5.1,12.99,21.965,10.0,12.59,0.5,0.00,0.5,0.00,1.0,0.00,5.1,21.45,0.333
1787410597.630,162.2,10.0,7.48,1.6,39.89,1.0,0.00,0.8,0.00,3.9,129.80,21.553,10.0,7.87,0.0,0.00,1.0,0.00,0.8,0.00,5.0,35.34,0.191
1787410599.469,164.1,10.0,11.53,1.8,41.05,1.0,0.00,1.0,0.00,5.4,21.59,20.895,10.0,10.62,4.2,90.60,1.0,0.00,1.0,0.00,5.4,24.76,0.050
1787410601.429,166.0,10.0,5.03,1.6,16.09,1.0,0.00,0.5,0.00,5.0,26.24,20.145,10.0,8.21,2.5,46.15,1.0,0.00,0.8,0.00,5.0,26.84,0.050
1787410603.327,167.9,10.0,5.17,2.3,70.78,1.0,0.00,1.0,0.00,5.2,31.09,19.345,10.0,33.59,1.9,95.42,1.6,0.00,1.0,0.00,5.2,27.75,27.711
1787410605.207,169.8,10.0,5.28,1.8,43.26,1.0,0.00,1.0,0.00,5.3,20.65,18.595,10.0,7.08,2.6,24.07,0.9,0.00,1.0,0.00,5.3,17.88,27.477
1787410607.170,171.8,10.0,4.27,1.7,40.82,1.0,0.00,1.0,0.00,5.2,28.27,18.245,10.0,2.86,1.5,119.23,0.9,0.00,1.0,0.00,5.1,34.51,26.724
1787410609.070,173.7,10.0,10.50,1.7,11.01,1.0,0.00,1.0,0.00,5.2,23.84,17.543,10.0,13.57,1.2,0.00,0.9,0.00,1.0,0.00,5.2,31.76,26.007
